postcode,location,district,state,mukim
02000,Jalan Simpang Empat (Batu 3 3/4 - 4 1/2),KUALA PERLIS,PERLIS,
02000,Kampung Bahagia,KUALA PERLIS,PERLIS,
02000,Kampung Bangsal Lebah,KUALA PERLIS,PERLIS,
02000,Kampung Baru (Jalan Sarawak),KUALA PERLIS,PERLIS,
02000,Kampung Baru Jeti,KUALA PERLIS,PERLIS,
02000,Kampung Baru Tandiap,KUALA PERLIS,PERLIS,
02000,Kampung Baru Tok Kuning,KUALA PERLIS,PERLIS,
02000,Kampung Batu Buaya,KUALA PERLIS,PERLIS,
02000,Kampung Batu Lima,KUALA PERLIS,PERLIS,
02000,Kampung Behor Lateh,KUALA PERLIS,PERLIS,
02000,Kampung Belakang Kilang,KUALA PERLIS,PERLIS,
02000,Kampung Besar,KUALA PERLIS,PERLIS,
02000,Kampung Bohor Ibus,KUALA PERLIS,PERLIS,
02000,Kampung Bohor Lateh,KUALA PERLIS,PERLIS,
02000,Kampung Bohor Mesjid,KUALA PERLIS,PERLIS,
02000,Kampung Bohor Rotan Pahit,KUALA PERLIS,PERLIS,
02000,Kampung Bohor Tui,KUALA PERLIS,PERLIS,
02000,Kampung Bukit Papan,KUALA PERLIS,PERLIS,
02000,Kampung Hujung Tanjung,KUALA PERLIS,PERLIS,
02000,Kampung Kolam Raja,KUALA PERLIS,PERLIS,
02000,Kampung Kota Kayang,KUALA PERLIS,PERLIS,
02000,Kampung Kuala,KUALA PERLIS,PERLIS,
02000,Kampung Kurung Tengar,KUALA PERLIS,PERLIS,
02000,Kampung Langgar,KUALA PERLIS,PERLIS,
02000,Kampung Nelayan,KUALA PERLIS,PERLIS,
02000,Kampung Padang Besar Selatan,KUALA PERLIS,PERLIS,
02000,Kampung Padang Cina,KUALA PERLIS,PERLIS,
02000,Kampung Padang Jamil,KUALA PERLIS,PERLIS,
02000,Kampung Pak Lengah,KUALA PERLIS,PERLIS,
02000,Kampung Peladang,KUALA PERLIS,PERLIS,
02000,Kampung Perak,KUALA PERLIS,PERLIS,
02000,Kampung Pokok Asam,KUALA PERLIS,PERLIS,
02000,Kampung Puju,KUALA PERLIS,PERLIS,
02000,Kampung Pulau Ketam,KUALA PERLIS,PERLIS,
02000,Kampung Pulau,KUALA PERLIS,PERLIS,
02000,Kampung Seberang Alor,KUALA PERLIS,PERLIS,
02000,Kampung Seberang Jaya,KUALA PERLIS,PERLIS,
02000,Kampung Seberang Tok PI,KUALA PERLIS,PERLIS,
02000,Kampung Sungai Mati,KUALA PERLIS,PERLIS,
02000,Kampung Tandiap,KUALA PERLIS,PERLIS,
02000,Kampung Tanjung Gelam,KUALA PERLIS,PERLIS,
02000,Kampung Telok,KUALA PERLIS,PERLIS,
02000,Kampung Tengah Bohor Lateh,KUALA PERLIS,PERLIS,
02000,Kampung Tengah,KUALA PERLIS,PERLIS,
02000,Kampung Terus Teritip,KUALA PERLIS,PERLIS,
02000,Kampung Titi Serong,KUALA PERLIS,PERLIS,
02000,Kampung Tok Kaya,KUALA PERLIS,PERLIS,
02000,Kampung Tok Kuning,KUALA PERLIS,PERLIS,
02000,Kampung Utan Ibus,KUALA PERLIS,PERLIS,
02000,Kampung Wai,KUALA PERLIS,PERLIS,
02000,Kampung Wang Pinang,KUALA PERLIS,PERLIS,
02000,Kawasan Perindustrian Kuala Perlis,KUALA PERLIS,PERLIS,
02000,Kuala Perlis,KUALA PERLIS,PERLIS,
02000,Persiaran Putra Timur 1,KUALA PERLIS,PERLIS,
02000,PPRT Tok Kuning,KUALA PERLIS,PERLIS,
02000,Rancangan Perumahan Awam 2 KPS,KUALA PERLIS,PERLIS,
02000,Sungai Berembang,KUALA PERLIS,PERLIS,
02000,Sungai Manor,KUALA PERLIS,PERLIS,
02000,Sungai Siput,KUALA PERLIS,PERLIS,
02000,Taman Berlian,KUALA PERLIS,PERLIS,
02000,Taman Bukit Kubu,KUALA PERLIS,PERLIS,
02000,Taman Indera Indah,KUALA PERLIS,PERLIS,
02000,Taman Kuala Perlis,KUALA PERLIS,PERLIS,
02000,Taman Peladang Jaya,KUALA PERLIS,PERLIS,
02000,Taman Semarak,KUALA PERLIS,PERLIS,
02000,Taman Sentosa,KUALA PERLIS,PERLIS,
02000,Taman Seri Bayu,KUALA PERLIS,PERLIS,
02000,Taman Seri Semarak,KUALA PERLIS,PERLIS,
02000,Taman Suria,KUALA PERLIS,PERLIS,
02100,Aked Niaga,PADANG BESAR,PERLIS,
02100,Bukit Cabang,PADANG BESAR,PERLIS,
02100,Emas Kerajang,PADANG BESAR,PERLIS,
02100,Felcra Lubuk Sireh,PADANG BESAR,PERLIS,
02100,Felda Mata Ayer,PADANG BESAR,PERLIS,
02100,Felda Rimba Mas,PADANG BESAR,PERLIS,
02100,Gapura Square,PADANG BESAR,PERLIS,
02100,Gapura Squre,PADANG BESAR,PERLIS,
02100,Jalan Padang Besar (19 KM),PADANG BESAR,PERLIS,
02100,Kampung Alor Dalam (Bukit Chabang),PADANG BESAR,PERLIS,
02100,Kampung Asmara,PADANG BESAR,PERLIS,
02100,Kampung Baru Bukit Chabang,PADANG BESAR,PERLIS,
02100,Kampung Baru Jalan Sahabat,PADANG BESAR,PERLIS,
02100,Kampung Baru,PADANG BESAR,PERLIS,
02100,Kampung Bukit Chabang,PADANG BESAR,PERLIS,
02100,Kampung Chantek,PADANG BESAR,PERLIS,
02100,Kampung Guar Tinggi (Titi Tinggi),PADANG BESAR,PERLIS,
02100,Kampung Kok Mak,PADANG BESAR,PERLIS,
02100,Kampung Kolam,PADANG BESAR,PERLIS,
02100,Kampung Masjid,PADANG BESAR,PERLIS,
02100,Kampung Melayu,PADANG BESAR,PERLIS,
02100,Kampung Padang Mawa,PADANG BESAR,PERLIS,
02100,Kampung Petani,PADANG BESAR,PERLIS,
02100,Kampung Sahabat,PADANG BESAR,PERLIS,
02100,Kampung Sena,PADANG BESAR,PERLIS,
02100,Kampung Sungai Chuchuh,PADANG BESAR,PERLIS,
02100,Kampung Syed Abdan,PADANG BESAR,PERLIS,
02100,Kampung Tersusun (Batu 20),PADANG BESAR,PERLIS,
02100,Kampung Titi Tinggi Hilir,PADANG BESAR,PERLIS,
02100,Kampung Titi Tinggi Ulu,PADANG BESAR,PERLIS,
02100,Kampung Titi Tinggi,PADANG BESAR,PERLIS,
02100,Kampung Tok Wan Nik,PADANG BESAR,PERLIS,
02100,Kem Askar Rimba Mab,PADANG BESAR,PERLIS,
02100,Kem UPP,PADANG BESAR,PERLIS,
02100,Klinik Kesihatan Jalan Keretapi,PADANG BESAR,PERLIS,
